tokens_b,stage,target_web,target_code,target_math,target_reasoning,target_indic,target_agentic,target_longctx,target_instruct,realized_web,realized_code,realized_math,realized_reasoning,realized_indic,realized_agentic,realized_longctx,realized_instruct
0.0,s0_seed,0.72,0.08,0.04,0.02,0.1,0.03,0.0,0.01,0.715,0.08167,0.04333,0.02,0.1,0.03,0.0,0.01
10.0,s0_seed,0.72,0.08,0.04,0.02,0.1,0.03,0.0,0.01,0.71167,0.075,0.04333,0.02833,0.1,0.03333,0.0,0.00833
20.0,s0_seed,0.72,0.08,0.04,0.02,0.1,0.03,0.0,0.01,0.70833,0.08,0.03833,0.025,0.1,0.04,0.0,0.00833
30.0,s0_seed,0.72,0.08,0.04,0.02,0.1,0.03,0.0,0.01,0.72833,0.07667,0.03,0.025,0.1,0.03,0.0,0.01
40.0,s0_seed,0.72,0.08,0.04,0.02,0.1,0.03,0.0,0.01,0.69833,0.08667,0.05333,0.02,0.1,0.03333,0.0,0.00833
50.0,s1_foundation,0.6,0.1325,0.0775,0.02,0.1075,0.03,0.0225,0.01,0.60333,0.14167,0.06833,0.02,0.10833,0.03,0.01833,0.01
60.0,s1_foundation,0.568,0.1465,0.0875,0.02,0.1095,0.03,0.0285,0.01,0.56667,0.13833,0.09667,0.02,0.11667,0.03,0.025,0.00667
70.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.56833,0.16,0.06,0.02167,0.12167,0.03167,0.02667,0.01
80.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.52833,0.17,0.09833,0.02333,0.11833,0.03167,0.02167,0.00833
90.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.56333,0.165,0.085,0.02,0.10167,0.03,0.025,0.01
100.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54667,0.16667,0.09333,0.02,0.1,0.03,0.03333,0.01
110.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.55833,0.13,0.09667,0.02667,0.10667,0.04,0.03,0.01167
120.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54333,0.16,0.1,0.02,0.10833,0.03,0.03167,0.00667
130.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.555,0.15167,0.09667,0.02,0.10333,0.03,0.03167,0.01167
140.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54,0.17167,0.08167,0.02,0.11167,0.03,0.03333,0.01167
150.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54667,0.16833,0.09667,0.02,0.1,0.03,0.02833,0.01
160.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.52167,0.16833,0.09333,0.02,0.12167,0.03,0.03167,0.01333
170.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54167,0.15833,0.09667,0.02167,0.11667,0.03167,0.02667,0.00667
180.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.56,0.14333,0.08167,0.02,0.10667,0.03333,0.04,0.015
190.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.57167,0.125,0.10833,0.025,0.10833,0.03333,0.01833,0.01
200.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54667,0.14333,0.095,0.02,0.11333,0.03833,0.03667,0.00667
210.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.52,0.16167,0.10333,0.02,0.11167,0.03,0.03667,0.01667
220.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.535,0.14667,0.09833,0.02667,0.115,0.03,0.03,0.01833
230.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54,0.15833,0.10167,0.02,0.11167,0.03,0.03167,0.00667
240.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.55833,0.15333,0.08,0.02167,0.10667,0.04333,0.02667,0.01
250.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.56333,0.15167,0.085,0.02,0.115,0.03,0.02167,0.01333
260.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.54333,0.15167,0.08667,0.02,0.12667,0.03,0.03333,0.00833
270.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.56,0.13667,0.09667,0.02,0.11167,0.03167,0.03167,0.01167
280.0,s1_foundation,0.56,0.15,0.09,0.02,0.11,0.03,0.03,0.01,0.56333,0.15667,0.09,0.02,0.105,0.03,0.02667,0.00833
